go test -benchmem -run=xxx -bench=BenchmarkQueueSinglePacketBlockingDiffNo -timeout 60m
goos: linux
goarch: amd64
pkg: github.com/scionproto/scion/go/border/qos
BenchmarkQueueSinglePacketBlockingDiffNo/Len88-8        	     744	   1589309 ns/op	    4233 B/op	      88 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len89-8        	     748	   1578675 ns/op	    4281 B/op	      89 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len90-8        	     740	   1588049 ns/op	    4339 B/op	      90 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len91-8        	     735	   1609020 ns/op	    4377 B/op	      91 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len92-8        	     729	   1638857 ns/op	    4425 B/op	      92 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len93-8        	     714	   1673880 ns/op	    4480 B/op	      93 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len94-8        	     732	   1666143 ns/op	    4521 B/op	      94 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len95-8        	     724	   1687300 ns/op	    4569 B/op	      95 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len96-8        	     720	   1745896 ns/op	    4617 B/op	      96 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len97-8        	     734	   1694354 ns/op	    4665 B/op	      97 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len98-8        	     600	   1740055 ns/op	    4716 B/op	      98 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len99-8        	     727	   1774008 ns/op	    4761 B/op	      99 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len100-8       	     735	   1806544 ns/op	    4810 B/op	     100 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len101-8       	     733	   1825466 ns/op	    4864 B/op	     101 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len102-8       	     721	   1835527 ns/op	    4906 B/op	     102 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len103-8       	     712	   1843623 ns/op	    4960 B/op	     103 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len104-8       	     612	   1863786 ns/op	    5003 B/op	     104 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len105-8       	     726	   1860974 ns/op	    5059 B/op	     105 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len106-8       	     618	   1888130 ns/op	    5099 B/op	     106 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len107-8       	     614	   1932496 ns/op	    5148 B/op	     107 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len108-8       	     704	   1922440 ns/op	    5193 B/op	     108 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len109-8       	     621	   1935366 ns/op	    5243 B/op	     109 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len110-8       	     583	   1965862 ns/op	    5300 B/op	     110 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len111-8       	     602	   1937971 ns/op	    5339 B/op	     111 allocs/op
BenchmarkQueueSinglePacketBlockingDiffNo/Len112-8       	     603	   2007502 ns/op	    5387 B/op	     112 allocs/op
