BenchmarkClassification1/Cacheless-100-1-2-10-8    	  311226	      3647 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-2-100-8   	   33044	     36327 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-2-1000-8  	    3244	    366527 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-10-1-8    	 3505681	       343 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-10-10-8   	  326968	      3660 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-10-100-8  	   33094	     36106 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-10-1000-8 	    3292	    362206 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-100-1-8   	 3492790	       338 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-100-10-8  	  333693	      3537 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-100-100-8 	   33105	     36431 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-100-1000-8         	    3198	    363022 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-255-1-8            	 3506590	       343 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-255-10-8           	  320847	      3647 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-255-100-8          	   32594	     39602 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-255-1000-8         	    3249	    366545 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-400-1-8            	 3587582	       334 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-400-10-8           	  326798	      3559 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-400-100-8          	   33033	     35978 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-100-1-400-1000-8         	    3211	    364439 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-2-1-8             	  821044	      1465 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-2-10-8            	   79683	     14815 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-2-100-8           	    7809	    150520 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-2-1000-8          	     784	   1511361 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-10-1-8            	  781226	      1477 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-10-10-8           	   80682	     14864 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-10-100-8          	    7831	    149648 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-10-1000-8         	     805	   1501864 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-100-1-8           	  765969	      1463 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-100-10-8          	   80394	     14886 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-100-100-8         	    7930	    150394 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-100-1000-8        	     795	   1491091 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-255-1-8           	  811225	      1471 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-255-10-8          	   81560	     14790 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-255-100-8         	    7966	    149267 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-255-1000-8        	     801	   1545617 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-400-1-8           	  819914	      1478 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-400-10-8          	   79083	     14917 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-400-100-8         	    7820	    149334 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1000-1-400-1000-8        	     804	   1491518 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Regular-1-1-2-1-8         	 2488550	       483 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1-1-2-10-8        	  237046	      5022 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1-1-2-100-8       	   23330	     51367 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1-1-2-1000-8      	    2404	    484823 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1-1-10-1-8        	 2512226	       481 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1-1-10-10-8       	  234939	      5059 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1-1-10-100-8      	   22956	     51032 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1-1-10-1000-8     	    2395	    487780 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1-1-100-1-8       	 2520356	       476 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1-1-100-10-8      	  241318	      4999 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1-1-100-100-8     	   23272	     50956 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1-1-100-1000-8    	    2341	    485343 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1-1-255-1-8       	 2510760	       475 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1-1-255-10-8      	  235090	      5017 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1-1-255-100-8     	   23605	     50680 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1-1-255-1000-8    	    2426	    488901 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1-1-400-1-8       	 2491760	       476 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1-1-400-10-8      	  235591	      5043 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1-1-400-100-8     	   23568	     51252 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1-1-400-1000-8    	    2340	    489692 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-10-1-2-1-8        	 2381641	       509 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-10-1-2-10-8       	  226816	      5351 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-10-1-2-100-8      	   22214	     54203 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-10-1-2-1000-8     	    2241	    519887 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-10-1-10-1-8       	 2342984	       513 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-10-1-10-10-8      	  223650	      5377 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-10-1-10-100-8     	   22116	     54552 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-10-1-10-1000-8    	    2287	    530749 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-10-1-100-1-8      	 2358325	       514 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-10-1-100-10-8     	  213494	      5475 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-10-1-100-100-8    	   22304	     54097 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-10-1-100-1000-8   	    2250	    520117 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-10-1-255-1-8      	 2327052	       519 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-10-1-255-10-8     	  218746	      5421 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-10-1-255-100-8    	   22560	     53271 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-10-1-255-1000-8   	    2342	    515481 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-10-1-400-1-8      	 2385938	       503 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-10-1-400-10-8     	  220972	      5344 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-10-1-400-100-8    	   23044	     51987 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-10-1-400-1000-8   	    2218	    517498 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-100-1-2-1-8       	 1740958	       689 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-100-1-2-10-8      	  166993	      7101 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-2-100-8     	   16662	     72260 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-2-1000-8    	    1635	    709506 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-100-1-10-1-8      	 1767540	       676 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-100-1-10-10-8     	  166441	      7080 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-10-100-8    	   16665	     71454 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-10-1000-8   	    1680	    714679 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-100-1-100-1-8     	 1796562	       673 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-100-1-100-10-8    	  167413	      7013 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-100-100-8   	   16501	     71999 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-100-1000-8  	    1704	    711202 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-100-1-255-1-8     	 1796161	       669 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-100-1-255-10-8    	  172686	      7072 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-255-100-8   	   16778	     72019 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-255-1000-8  	    1720	    698203 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-100-1-400-1-8     	 1787194	       667 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-100-1-400-10-8    	  175878	      6931 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-100-1-400-100-8   	   16879	     71490 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-100-1-400-1000-8  	    1669	    715746 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-2-1-8      	  657855	      1797 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-2-10-8     	   64834	     18376 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-2-100-8    	    6522	    184512 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-2-1000-8   	     650	   1846474 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-10-1-8     	  658033	      1803 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-10-10-8    	   64202	     18258 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-10-100-8   	    6532	    183474 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-10-1000-8  	     618	   1844503 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-100-1-8    	  676458	      1781 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-100-10-8   	   65156	     18224 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-100-100-8  	    6556	    182847 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-100-1000-8 	     652	   1819808 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-255-1-8    	  672154	      1777 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-255-10-8   	   64225	     18167 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-255-100-8  	    6442	    183521 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-255-1000-8 	     643	   1831148 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Regular-1000-1-400-1-8    	  677710	      1782 ns/op	      64 B/op	       2 allocs/op
BenchmarkClassification1/Regular-1000-1-400-10-8   	   65679	     18155 ns/op	     640 B/op	      20 allocs/op
BenchmarkClassification1/Regular-1000-1-400-100-8  	    6236	    182753 ns/op	    6400 B/op	     200 allocs/op
BenchmarkClassification1/Regular-1000-1-400-1000-8 	     645	   1826103 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-1-8       	 8277994	       143 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-10-8      	  766560	      1444 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-100-8     	   81628	     14412 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-2-1000-8    	    8240	    145222 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-1-8      	 8294988	       149 ns/op	       0 B/op	       0 allocs/op
BenchmarkClassification1/Cacheless-1-1-10-10-8     	  831484	      1429 ns/op	       0 B/op	       0 allocs/op
