Using path:
  Hops: [1-ff00:0:130 1004>2 1-ff00:0:110] MTU: 1472, NextHop: [fd00:f00d:cafe::7f00:29]:31118
120 bytes from 1-ff00:0:110,[::] scmp_seq=315 time=,634µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=316 time=,746µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=317 time=,806µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=318 time=,664µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=319 time=,738µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=320 time=,694µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=321 time=,777µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=322 time=,740µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=323 time=,615µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=324 time=,694µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=325 time=,595µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=326 time=,742µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=327 time=,620µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=328 time=,670µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=329 time=,741µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=330 time=,648µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=331 time=,644µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=332 time=,678µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=333 time=,748µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=334 time=,727µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=335 time=,645µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=336 time=,668µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=337 time=,696µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=338 time=,734µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=339 time=,683µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=340 time=,689µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=341 time=,661µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=342 time=,641µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=343 time=,765µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=344 time=,641µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=345 time=,665µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=346 time=,670µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=347 time=,632µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=348 time=,732µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=349 time=,680µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=350 time=,757µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=351 time=,734µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=352 time=,604µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=353 time=,680µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=354 time=,696µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=355 time=,726µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=356 time=,637µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=357 time=,735µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=358 time=,725µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=359 time=,701µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=360 time=,607µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=361 time=,657µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=362 time=,717µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=363 time=,607µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=364 time=,657µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=365 time=,706µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=366 time=,733µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=367 time=,722µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=368 time=,661µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=369 time=,944µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=370 time=,725µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=371 time=,774µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=372 time=,686µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=373 time=,684µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=374 time=,665µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=375 time=,612µs
120 bytes from 1-ff00:0:110,[::] scmp_seq=376 time=,739µs
